Lang,String,Region,Family,Consider
Vasco,1i2duzu3dugu4hau5hori6duten7zer8ez9guztiak10asko11bat12bi13big14luze15txiki16emakumea17asko18pertsona19arrain20txori21txakur22zorri23zuhaitz24hazia25hosto26erro27azala28azala29haraguiric30odol31hezur32koipea33arrautza34horn35buztan36luma37ilea38burua39belarria40begi41sudurra42ahoa43hortza44hizkuntza45atzapar46oinez47belauna48eskua49sabela50lepoa51breats52bihotza53gibela54edaria55jan56hozka57hazia58bihotza59jakin60lo61hiltzen62hiltzeko63igeri64hegan65oinez66etorriko67gezur68eseri69nabarmentzen70eman71esan72eguzkia73ilargia74star75ura76euri77harri78harea79lurra80hodei81ke82fire83errauts84erre85bidea86mendia87gorria88berdea89horia90zuri91beltza92gau93beroa94hotza95osoa96berria97ona98txandan99garbiketa100izen,Western Europe,Aislado,1
Islandés,1ég2þú3við4þetta5að6sem7hvað8ekki9allt10margir11einn12tveir13stór14langur15lítill16kona17margir18maður19fiskur20fugl21hundur22lús23tré24fræ25blaða26rót27gelta28húð29hold30blóð31bein32feiti33egg34horn35hala36fjöður37hár38höfuð39eyra40auga41nef42munni43tönn44tungu45kló46fótur47hné48hönd49maga50háls51breats52hjarta53lifur54drekka55borða56bíta57fræ58hjarta59veit60svefn61die62drepa63synda64fljúga65ganga66koma67lygi68sitja69standa70gefa71segja72sól73tunglið74stjörnu75vatn76rigning77steinn78sandur79jörðin80ský81reykja82eldur83aska84brenna85slóð86fjallið87rauður88grænt89gulur90hvítur91svart92nótt93heitt94kalt95fullur96ný97gott98umferð99þrif100nafn,Western Europe,Germanic,1
Croata,1ja2ti3mi4ovo5koji6koji7što8nije9sve10mnogo11jedan12dva13velika14dugo15mali16žena17mnogo18osoba19riba20ptica21pas22uš23drvo24sjeme25list26korijen27kora28koža29tijelo30krv31kost32mast33jaje34rog35rep36pero37kosa38glava39uho40oko41nos42usta43zub44jezik45kandža46noga47koljeno48ruka49trbuh50vrat51breats52srce53jetra54pi?e55jesti56gristi57sjeme58srce59znam60san61umrijeti62ubiti63plivati64letjeti65hodati66do?i67laž68sjesti69stajati70dati71re?i72sunce73mjesec74zvijezda75voda76kiša77kamen78pijesak79zemlja80oblak81dim82vatra83pepeo84gorjeti85put86planina87crvena88zelena89žuti90bijela91crna92no?93vru?e94hladno95puni96novi97dobro98oko99?iš?enje100ime,Eastern Europe,Slavic,1
Danés,1jeg2du3vi4dette5at6der7hvad8ikke9alle10mange11en12to13stor14lang15lille16kvinde17mange18person19fisk20fugl21hund22lus23træ24frø25blad26rod27bark28hud29kød30blod31knogle32fedt33æg34horn35hale36fjer37hår38hoved39øre40øje41næse42mund43tand44tunge45klo46fod47knæ48hånd49mave50hals51breats52hjerte53lever54drikke55spise56bide57frø58hjerte59kender60søvn61dø62dræbe63svømme64flyve65gå66komme67løgn68sidde69stå70give71sige72sol73månen74stjerne75vand76regn77sten78sand79jord80sky81røg82brand83aske84brænde85sti86bjerg87rød88grøn89gul90hvid91sort92nat93varm94kold95fuld96ny97god98omgang99rengøring100navn,Western Europe,Germanic,1
Eslovaco,1ja2vy3my4toto5že6kto7?o8nie9všetko10ve?a11jeden12dva13ve?ký14dlho15malý16žena17ve?a18?lovek19ryby20vták21pes22voš23strom24semeno25krídlo26kore?27kôra28koža29telo30krv31kos?32tuk33vají?ko34roh35chvost36perie37vlasy38hlava39ucho40o?né41nos42ústa43zub44jazyk45pazúr46noha47koleno48ru?né49brucho50krk51breats52srdcové53pe?e?54pi?55jes?56skus57semeno58srdcové59vedie?60spánok61zomrie?62zabi?63pláva?64lieta?65chodi?66prís?67lož68sedie?69stojan70da?71poveda?72slnka73mesiac74hviezda75voda76dáž?77kame?78piesok79krajina80mrak81dym82požiarne83popol84horie?85cesta86horský87?ervená88zelená89žltý90biela91?ierna92noc93horúco94prechladnutie95plne96nový97dobrý98kolo99?istenie100názov,Eastern Europe,Slavic,1
Sueco,1jag2du3vi4detta5att6som7vad8inte9allt10många11en12två13stor14lång15liten16kvinna17många18person19fisk20fågel21hund22lus23träd24frö25blad26rot27bark28hud29kött30blod31ben32fett33ägg34horn35svans36fjäder37hår38huvud39örat40öga41näsa42mun43tand44tunga45klo46fot47knä48handen49mage50hals51breats52hjärta53lever54dricka55äta56bita57frö58hjärta59vet60sömn61dö62döda63dopp64flyga65gå66komma67lie68sitta69stå70ge71säga72sol73moon74stjärna75vatten76regn77sten78sand79jord80cloud81rök82brasa83aska84brännskada85bana86berg87röd88grön89gul90vit91svart92natt93het94förkylning95full96ny97bra98runda99rengöring100namn,Western Europe,Germanic,1
Armenio,1yes2duk’3menk’4ays5vor6ov7inch’8voch’9bolory10shat11mek12yerku13mets14yerkar15p’vok’r16kin17shat18mard19dzuk20t’rrch’un21shun22vojil23tsarr24serm25p’yeghk26armat27hach’yel28mashk29marmin30aryun31voskor32k’suk’33dzu34beghikner35poch’36p’yetur37maz38ghekavar39akanj40ach’k’41k’it’42beran43atam44lezu45patrrel46votk’47tsunk48dzerrk’49stamok’s50paranots’51breats52sirt53lyard54khmel55utel56utel57serm58sirt59imanal60k’un61merrnel62spanel63loghaly64t’rrch’yel65k’aylel66gal67sut68nstel69kangnel70tal71asel72arev73lusin74astgh75jur76andzrev77k’ar78avaz79yerkir80amp81tsukh82krak83mokhir84ayrvel85chanaparh86lerrnayin87karmir88kanach’89deghinguyn90chermak91sev92gisher93tak’94ts’urt95li96nor97lav98klor99ch’vor100anun,Eastern Europe,Armenian,1
Griego,1egó2eseís3emeís4aftó5óti6oopoíos7ti8den9óla10pollá11énas12dýo13megálo14makrýs15mikró16gynaíka17pollá18prósopo19psári20poulí21skýlos22pseíra23déntro24spóros25fýllo26ríza27floiós28dérma29sárka30aíma31ostó32gráso33avgó34kérato35ourá36fteró37malliá38kefáli39aftí40máti41mýti42stóma43dónti44glóssa45dankána46pódi47gónato48chéri49koiliá50laimós51breats52kardiá53sykóti54potó55tróo56dánkoma57spóros58kardiá59xéro60ýpnos61kaloúpi62skotóno63záli64petó65perpatíste66éla67pséma68kathízo69stási70díno71léne72ílios73fengári74astéri75neró76vrochí77pétra78ámmos79gi80sýnnefo81kapnós82fotiá83flamouriá84énkavma85monopáti86vounó87tokókkino88prásinos89kítrinos90áspro91mávros92nýchta93zestó94krýo95gemátos96néos97kalós98gýros99xirós100ónoma,Eastern Europe,Hellenic,1
Hindi,1main2aap3ham4is5us6kaun7kya8nahin9sab10anek11ek12do13bade14lamba15chhota16mahila17anek18vyakti19machhalee20chidiya21kutta22joon23ped24beej25pattee26jad27chhaal28tvacha29maans30rakt31haddee32greez33anda34seeng35poonchh36pankh37kesh38sir39kaan40aankh41naak42munh43daant44jubaan45panja46pair47ghutana48haath49pet50garadan51braiats52dil53jigar54pey55khaanakhalo56kaatana57beej58dil59jaanana60neend61marana62hatya63tairana64udana65tahallo66aaie67jhooth68baithiye69khada70dena71kahana72ravi73chaand74taara75paanee76baarish77patthar78ret79prthvee80baadal81dhuaan82aag83esh84jalaana85path86parvat87laal88hara89peela90saphed91kaalee92raat93garam94sardee95poorn96naya97achchha98gol99sookha100naam,India,Indo-Aryan,1
Punjabi,1mai?2tus??3as??4iha5haij?ki6kau?a7k?8nah??9sabha10bahutas?r?11ika12d?13va??14lab?15ch???16aurata17bahutas?r?18vi'akat?19mach?20pach?21kut?22j?'?23rukha24b?ja25pat?26r??a27saka28cama??29m?sa30kh?na31ha??32gar?sa33a??34siga35p?cha36khabha37v?la38sira39kana40akha41naka42m?ha43dada44j?bha45nak???46paira47g???48hatha49?hi?a50garadana51s?ha52dila53jigara54p???55kh???kh?'?56dad?57b?ja58dila59j???60sal?pa61mara62m?r?63tair?k?64u??65cal?66?'u??67jh??ha68bai?h?69kha?h?70d??a71kah?72s?raja73cada74t?r?75p???76b?ri?a77pathara78r?ta79dharat?80badala81dh?'??82aga83su'?ha84s??a85m?raga86pah??a87l?la88har?89p?l?90ci??91k?l?92r?ta93garama94?ha??95p?r?96nav??97cag?98g?la99suk?100n?ma,India,Indo-Aryan,1
Luxemburguish,1ech2dir3mir4dëser5dass6déi7waat8net9all10vill11eent12zwee13grouss14laang15kleng16fra17vill18persoun19fësch20vugel21hond22louse23bam24som25leaf26root27blat28haut29fleesch30blutt31réckemuerch32ueleg33ee34horn35schwäif36fieder37hoer38kapp39ouer40aen41nues42mond43zännofdréck44zong45aarbescht46fouss47knéi48dem49bauch50hals51breats52häerz53liewer54drénken55iessen56dégustatioun57som58häerz59wëssen60schlof61stierwen62ëmbréngen63schwammen64fléien65spadséiergank66kommen67leien68sëtzt69stand70ginn71soen72sonn73mound74stär75waasser76reen77stee78sand79äerd80wollek81damp82feier83äschen84verbrennt85wee86bierg87rout88gréng89giel90wäiss91schwaarz92nuecht93waarm94keelt95voll96nei97gutt98ronn99dréchnen100numm,Western Europe,Germanic,1
ChinoTrad,1y?shì2nín3w?men4zhège5nà6shuí7shénme8bù9su?y?u10x?du?11y?12èr13dà14zh?ng15xi?o16n?rén17x?du?18rén19yú20ni?o21g?u22sh?23shù24zh?ngz?25yè26g?n27fèi28píf?29ròu30xi?yè31g?32rùnhuázh?33dàn34l?b?35w?ib?36y?máo37tóufà38tóu39?r40y?n41bízi42k?u43ch?44shé45zh?o46ji?oy?zi47x?gài48sh?u49dùpí50j?ngbù51breats52x?n53g?n54h?55ch?56y?o57zh?ngz?58x?n59zh?dào60shuìjiào61s?62sh?63yóuy?ng64f?i65bùxíng66lái67hu?ngyán68zuò69zhàn70g?i71shu?72tàiyáng73yuèliàng74x?ng75shu?76y?77shí78sh?79dìqiú80yún81ch?uy?n82hu?83hu?84sh?osh?ng85lùjìng86sh?n87hóng88l?sè89huángsè90báisè91h?isè92w?n93rè94l?ng95ch?ngfèn96x?n97h?o98huíhé99gàn100míngch?ng,Far East,Sino-Tibetan,0
Coreano,1naneun2dangsin3uli4i5geu6nugu7mwo8ani9modeun10manh-eun11hana12du13keun14gin15jag-eun16yeoja17manh-eun18salam19mulgogi20sae21gae22i23namu24ssi25ip26ppuli27namukkeobjil28pibu29yugche30pi31ppyeo32yuji33gyelan34ppul35kkoli36gis37meoli38meoli39gwi40nun41ko42ib43i44hyeo45galgolibaltob46bal47muleup48son49bae50mog51sumswida52simjang53gan54eumju55meogda56mulda57ssi58simjang59algoissda60jada61jusawi62jug-ida63suyeong64pali65sanchaeg66wassda67geojismal68anjda69dae70jugi71malhada72taeyang73dal74byeol75mul76bi77dol78molae79jigu80guleum81yeongi82bul83geum-yeongeongangjeungjinhyeobhoe84hwasang85tonglo86san87ppalgan88nogsaeg89nolang90hwaiteu91geom-eun92bam93tteugeoun94gamgi95wanjeonhan96saeloun97joh-eun98ilju99maleun100ileum,Far East,Koreanic,0
Hmong,1kuv2koj3peb4no5uas6uas7dabtsi8tsis9tagnrhocov10ntau11ibtug12ob13loj14ntev15meme16pojniam17ntau18tusneeg19ntses20noog21aub22covtuv23tsobntoo24noob25nplooj26hauvpaus27tawvntoo28daimtawvnqaij29nqaij30ntshav31pobtxha32roj33qe34horn35tustsovtustw36plaub37covplaubhau38lubtaubhau39pobntseg40qhovmuag41lubqhovntswg42lubqhovncauj43hniav44tusnplaig45claw46kotaw47hauvcaug48txhaistes49plab50cajdab51breats52lubplawv53siab54hausdej55noj56tom57noob58lubplawv59paub60pwtsaugzog61tuag62tua63ualuamdej64ya65taugkev66tuaj67dag68zaum69sawvntsug70muab71hais72hnub73hli74lubhnubqub75dej76nag77pobzeb78xuabzeb79lubntiajteb80huab81paluamyeeb82hluavtawskub83tshauv84hlawv85txojkev86roob87liab88ntsuab89daj90dawb91dub92hmontuj93kub94txias95tagnrho96tshiab97zoo98puagncig99qhuav100lubnpe,Far East,Hmong-Mien,0
Mongol,1bi2ta3bid4eneni5ter6khenbe7yuu8ügüi9bügd10olon11neg12khoyor13tom14urt15jijig16emegteikhün17olon18khün19zagas20shuvuu21nokhoi22sonsson23mod24üriig25navch26root27kholtos28aris29makhanbiye30tsus31yas32tos33öndög34ever35süül36ödtei37üs38tolgoi39chikh40nüd41khamar42am43shüd44khel45khums46khöl47övdög48gar49gedes50khüzüü51aajmaar52zürkhsetgel53eleg54uukh55idekh56khazakh57üriig58zürkhsetgel59medekh60untakh61ükhekh62alakh63usandselekh64nisejbaina65alkhaarai66ir67khudlaa68suukh69zogsojbaina70ög71gejkhelev72nar73sar74od75us76boroo77chuluu78els79delkhii80üül81utaa82gal83üns84shataakh85zam86uul87ulaan88nogoon89shar90tsagaan91khar92shönö93khaluunbaina94khüiten95büren96shine97sainbaina98toirog99khuuraibaina100ner,Far East,Mongol,0
Turco,1ben2sen3biz4bu5o6kim7ne8de?il9her?ey10çok11bir12iki13büyük14uzun15küçük16kad?n17çok18ki?i19bal?k20ku?21köpek22bit23a?aç24tohum25yaprak26kök27ba??rmak28cilt29et30kan31kemik32gres33yumurta34boynuz35kuyruk36ku?tüyü37saç38kafa39kulak40göz41burun42a??z43di?44dil45pençe46ayak47diz48el49göbek50boyun51breats52kalp53karaci?er54içki55yemek56?s?rmak57tohum58kalp59bilmek60uyku61ölmek62öldürmek63yüzmek64uçmak65yürümek66hadi67yalan68oturmak69durmak70vermek71söylemek72güne?73ay74star75su76ya?mur77ta?78kum79toprak80bulut81duman82ate?83kül84yanmak85yol86da?87k?rm?z?88ye?il89sar?90beyaz91siyah92gece93s?cak94so?uk95tam96yeni97iyi98yuvarlak99kuru100isim,Middle East,Turkic,0
Haitiano,1mwen2ou3nou4saa5ki6ki7kisa8pa9tout10anpil11youn12de13gwo14lontan15ti16fanm17anpil18moun19pwason20zwazo21chen22bouje23pyebwa24pititpitit25fèy26rasin27jape28po29vyann30san31zo32grès33ze34kòn35ke36plim37toutchevenantèt38tèt39zòrèy40je41nen42bouch43dan44lang45grif46pye47jenou48men49vant50kou51breats52kè53fwa54bwè55manje56mòde57pititpitit58kè59konnen60dòmi61mouri62touye63naje64vole65mache66vini67manti68chita69kanpe70bay71di72solèy73lalin74zetwal75dlo76lapli77wòch78sab79latè80nwaj81lafimen82dife83sann84boule85chemen86mòn87wouj88vèt89jòn90blan91nwa92lannwit93cho94frèt95plen96nouvo97bon98wonn99sèk100non,Western Europe,Romance,1
Georgiano,1me2t’k’ven3ch’ven4es5rom6vin7ra8ara9qvela10bevri11ert’i12ori13didi14khangrdzlivi15patara16k’ali17bevri18piri19t’evzi20p’rinveli21dzaghli22louse23khe24t’esli25p’ot’oli26root27k’erk’i28kani29khorts’i30siskhli31dzvali32zet’i33kverts’khi34rk’a35kudi36bumbuli37t’ma38khelmdzghvaneli39quri40t’vali41ts’khviri42piri43kbilis44ena45claw46p’ekhit’47mukhli48khelit’49muts’eli50kiseri51sunt’k’va52guli53ghvidzlshi54sasmeli55chama56bite57t’esli58guli59vits’i60dzili61ighupeba62mokvla63banaoba64p’rena65p’ekhit’66modi67tquili68ijdes69davdget’70mists’es71amboben72mze73mt’vare74varskvlavi75tsqali76tsvima77k’va78k’visha79dedamitsa80ghrubeli81motseva82ts’ets’khli83nats’ari84damtsvroba85gza86mt’is87tsit’eli88mtsvane89qvit’eli90t’et’ri91shavi92ghame93ts’kheli94ts’ivi95sruli96akhali97kargi98raundi99mshrali100sakheli,Eastern Europe,Kartvelian,0
Bengali,1?mi2?pani3?mar?4?'i5y?6k?7ki8n?9saba10an?ka11?ka12du'i13ba?a14d?rgha15ch??a16n?r?17an?ka18byakti19m?cha20p?khi21kukura22ukuna23g?cha24b?ja25g?ch?rap?t?26m?la27b?kala28c?ma??29m?nsa30rakta31h??a32carbil?g?n?33?ima34?i??35l?ja36p?laka37cula38m?th?39k?na40c?kha41n?ka42mukha43d?m?ta44jihb?45nakhara46p?47h?m??u48h?ta49p??a50gh??a51breats52hr?da?a53yakr?ta54p?nakar?55kh?'???56d?ntadi??phu??kar?57b?ja58hr?da?a59j?n?60ghuma61mar?62badha63santara?a64m?chi65padabraj?bhrama?a66?s?67mithy?68bas?69th?k?70dit?71bal?72s?rya73c?m?da74t?rak?75p?ni76br???i77p?thara78b?li79pr?thib?80m?gha81dh?m???82?guna83ch?'i84p???85patha86parbata87l?la88sabuja89haluda90s?d?91k?l?92r?ta93garama94?h?n??95samp?r?a96natuna97bh?la98br?tt?k?ra99?u?ka100n?ma,India,Indo-Aryan,1
Kannada,1n?nu2n?vu3n?vu4idu5adu6y?ru7?nu8alla9ell?10an?ka11ondu12era?u13do??adu14uddav?gide15sa??a16mahi?e17an?ka18vyakti19m?nu20hakki21n?yi22laus23mara24b?ja25ele26b?ru27toga?e28carma29m?nsa30rakta31m??e32gr?s33mo??e34kombu35b?la36gari37k?dalu38tale39kivi40ka??u41m?gu42b?yi43hallu44bh??e45pan?ja46p?da47mo?ak?lu48kai49ho??e50kuttige51usir??uvudu52hr?daya53yakr?ttu54p?n?ya55tinniri56kaccuvudu57b?ja58hr?daya59ti?idide60nidre61s?yu62kollu63?ju64h?ralu65na?eyiri66banni67su??u68ku?ituko??i69s?y???70n??i71h??u72s?rya73candra74nak?atra75n?ru76ma?e77kallu78mara?u79bh?mi80m??a81hoge82be?ki83b?di84barn85m?rga86parvata87kempu88hasiru89ha?adi90bi?i91kappu92r?tri93bisi94??ta95p?r?a96hosadu97o??eyadu98suttinalli99?u?ka100hesaru,India,Dravidian,1
